Time (Hr),DL (Large Particles),Ds (Small Particles),DL+Ds,WPC
50.0,2.2408023769472507,0.0,2.2408023769472507,
50.5,13.859761128198322,0.0,13.859761128198322,
51.0,9.5817788362281,9.774046829090764,19.355825665318864,
51.5,7.012444683940731,5.069036517774938,12.081481201715668,
52.0,0.0,19.351351332309243,19.351351332309243,
52.5,0.0,17.240806852153224,17.240806852153224,
53.0,0.0,3.119720550936279,3.119720550936279,
53.5,12.761797915498704,0.7970030029387729,13.558800918437477,
54.0,7.562700234864175,4.555572245018007,12.118272479882183,
54.5,9.804926555920908,11.025548275444232,20.830474831365137,
55.0,0.0,1.5119092246862866,1.5119092246862866,
55.5,15.250672043239886,12.34916723547402,27.599839278713908,
56.0,12.607252816008437,6.0631495657372145,18.670402381745653,
56.5,0.31205721356552374,10.499715425559407,10.81177263912493,
57.0,0.0,7.1809958740595015,7.1809958740595015,
57.5,0.0,3.0914727862575297,3.0914727862575297,
58.0,2.476444859190755,22.872799208864702,25.349244068055455,
58.5,6.997403632644758,17.49047382479283,24.487877457437587,
59.0,5.252800372842314,0.0,5.252800372842314,
59.5,2.5510578039608376,20.966739276937382,23.51779708089822,
60.0,9.07705789444759,9.70293594748541,18.779993841933,
60.5,0.0,22.08526680682274,22.08526680682274,
61.0,2.9127929707043627,19.414457678419453,22.327250649123815,
61.5,4.513511865873834,8.346705134077004,12.860216999950838,
62.0,6.424999684340719,0.0,6.424999684340719,
62.5,13.125394227860273,3.9978207815483824,17.123215009408653,
63.0,1.5345756431671944,12.362226439826008,13.896802082993203,
63.5,7.945963768272233,15.29464659478442,23.240610363056653,
64.0,9.63069137724085,4.205430562996068,13.836121940236918,
64.5,0.0,0.8293822221847247,0.8293822221847247,
65.0,10.178397038028768,21.877907103978977,32.05630414200775,
65.5,1.5619574737458315,26.544765421106565,28.106722894852396,
66.0,0.0,12.967505469080576,12.967505469080576,
66.5,17.37998574506667,2.5326785754491077,19.912664320515777,
67.0,17.841740661491187,5.73841979558107,23.580160457072257,
67.5,14.824821962329223,0.0,14.824821962329223,
68.0,4.877875383467414,25.376164196814972,30.254039580282388,
68.5,0.8687172801276812,1.6708324867042368,2.539549766831918,
69.0,12.730560530243139,15.626294265427608,28.35685479567075,
69.5,7.98052487479203,6.746356620616183,14.726881495408213,
70.0,1.750764696895577,15.345340075473803,17.09610477236938,
70.5,9.347013202225401,18.459311650555925,27.806324852781326,
71.0,0.26567042230436755,24.007054111216046,24.272724533520414,
71.5,17.899683041575642,5.506938152818092,23.406621194393736,
72.0,5.025199632000337,0.0,5.025199632000337,
72.5,13.23732068707964,3.8240689020642176,17.061389589143857,
73.0,6.359321521788219,26.921759255443153,33.281080777231374,
73.5,10.665635423556214,26.343002326875453,37.00863775043167,
74.0,11.338605586865592,18.255193065109246,29.593798651974836,
74.5,4.242564110510541,18.556205813009598,22.79876992352014,
75.0,20.079192555291172,20.701100236387664,40.78029279167883,
75.5,16.33313146722229,6.2218383587034864,22.554969825925777,
76.0,19.764378831283782,28.605158377748793,48.36953720903257,
76.5,19.015822008552973,13.949415746762192,32.965237755315165,
77.0,13.223099576221703,13.095355847484926,26.31845542370663,
77.5,19.849359700462337,17.385031158485127,37.234390858947464,
78.0,3.32945004103839,3.4441790032516515,6.7736290442900415,
78.5,5.627932248382905,7.242801062682382,12.870733311065287,
79.0,2.762445778210761,24.61580849279111,27.37825427100187,
79.5,8.515081615265288,5.180660037753794,13.695741653019082,
80.0,9.93354579378964,21.01456328399165,30.94810907778129,
80.5,7.739455635477919,10.505173290439632,18.244628925917553,
81.0,19.040650183038586,15.049668421259295,34.09031860429788,
81.5,9.755341533871787,12.259112103120998,22.014453636992783,
82.0,8.394290193747615,14.497381493948476,22.89167168769609,
82.5,13.785796663164971,25.628877155527366,39.414673818692336,
83.0,5.907584499495255,13.202851468695256,19.11043596819051,
83.5,19.291214615080797,21.514439208906918,40.80565382398771,
84.0,4.897412873595417,19.038312065972992,23.93572493956841,
84.5,23.304213732010346,24.902834960879446,48.20704869288979,
85.0,19.17239538593315,33.334892179742745,52.507287565675895,
85.5,7.863788630683449,27.44586291630751,35.30965154699096,
86.0,4.162842342472047,12.157011357722698,16.319853700194745,
86.5,20.52550356909668,6.885794051838539,27.411297620935223,
87.0,18.51824687695234,14.06112132899475,32.57936820594709,
87.5,19.127018360819747,24.289837921007642,43.41685628182739,
88.0,20.13900693371891,8.22597440452751,28.36498133824642,
88.5,6.362168034681806,21.821287416037087,28.183455450718895,
89.0,12.219214570885452,25.084085467506675,37.30330003839212,
89.5,7.5368561905025935,17.456016724508824,24.992872915011418,
90.0,22.65206851751187,30.80736611237466,53.45943462988653,
90.5,18.027437536551158,11.130647594013155,29.158085130564313,
91.0,12.351860497052984,10.440933452074265,22.79279394912725,
91.5,7.178442005720472,30.2879626861081,37.46640469182857,
92.0,12.301246434313242,23.56393948618595,35.865185920499194,
92.5,12.760541440534942,29.60957189283208,42.37011333336702,
93.0,21.02522356676128,22.26202015811239,43.28724372487367,
93.5,19.361424427104264,16.870360997173204,36.23178542427747,
94.0,24.53265485152653,34.31386953022599,58.84652438175252,
94.5,16.411773503238987,33.98717636906938,50.398949872308364,
95.0,9.539384918766036,31.110894125632804,40.65027904439884,
95.5,21.5933707444599,18.70105411689888,40.29442486135878,
96.0,22.72610097233795,28.511720006072615,51.23782097841057,
96.5,18.91881895138993,21.903516908200807,40.82233585959074,
97.0,23.296443599091223,14.092662199799026,37.38910579889025,
97.5,17.937786927287817,39.136907263867286,57.0746941911551,
98.0,18.702256587639884,15.995758927568847,34.69801551520873,
98.5,16.985095367170995,40.67342061462408,57.65851598179508,
99.0,9.130282534881903,25.822973188738672,34.95325572362057,
99.5,10.968303539866088,18.274687865158594,29.242991405024682,
100.0,9.628583713734688,29.25702842135075,38.88561213508544,
100.5,21.91868322527561,39.469075076292256,61.38775830156787,
101.0,15.669019621526536,35.52954659228684,51.19856621381338,
101.5,19.745688823294056,38.0431344358435,57.78882325913756,
102.0,27.918929478521857,33.89470100132152,61.81363047984338,
102.5,14.947719582977495,35.18579693553556,50.13351651851306,
103.0,18.36475846071259,40.18106954695958,58.54582800767217,
103.5,25.464297770860973,22.48434026577558,47.94863803663655,
